Listing Title,Airbnb URL,Listing ID,Estimated Rental Revenue (Range),Estimated Rental Revenue (Median),Estimated ADR,Estimated Adjusted Occupancy,Active days,Booking Window,Length of Stay,Dynamic Pricing,Min Stay,Professionally Managed,Bathrooms,Max Guests,Listed Price,Listing Type,Is Active,Economic Category,Blocked Days,Rating,Reviews,Beachfront,Hot Tub,EV Charger,Kitchen,Pool,Pets Allowed,Smoking Allowed,Air Conditioning,Cleaning Fee,Guest Favorite,Host ID,Cancellation Policy
"Downtown 2BR+Den Condo W/Parking, Walk To Hotspots","https://www.airbnb.com/rooms/1410828396279990301","1410828396279990301","48902-59295","54007","291.93","93","200","30","14","None","3","Individual","2.0","6","300","Entire condo","Yes","Midscale","51","4.76","33","No","No","No","Yes","No","No","No","Yes","100.0","0","692832573","Limited"
"2+den Bedrooms Downtown Toronto University","https://www.airbnb.com/rooms/2516271","2516271","48296-59732","54341","217.37","71","352","136","10","Moderate","4","Small","2.0","5","237","Entire rental unit","Yes","Midscale","14","4.62","201","No","No","No","Yes","Yes","No","No","Yes","107.0","0","12028383","Firm"
"Clean And Bright 2 Bed W/Parking & Gym","https://www.airbnb.com/rooms/1286287706622078417","1286287706622078417","47854-58802","54654","229.64","77","311","115","8","Moderate","2","Individual","1.0","5","281","Entire rental unit","Yes","Midscale","55","4.97","35","No","No","No","Yes","No","No","No","Yes","93.0","1","20329606","Limited"
"Stylish 2BR Downtown Escape | Prime Victoria Spot","https://www.airbnb.com/rooms/1452972800317866486","1452972800317866486","49515-59983","54906","368.49","88","170","27","3","Moderate","1","Individual","2.0","8","344","Entire rental unit","Yes","Upscale","30","4.86","42","No","No","No","Yes","No","No","No","Yes","71.0","1","695406027","Flexible"
"❤️Hidden Gem Fully Equipped 2BR W/ Free Parking","https://www.airbnb.com/rooms/39056035","39056035","49241-59481","55342","371.42","47","314","25","5","Moderate","2","Small","1.0","4","400","Entire condo","Yes","Upscale","52","4.95","167","No","No","No","Yes","No","No","No","Yes","107.0","1","230031719","Strict"
"Charming Downtown Toronto Apt","https://www.airbnb.com/rooms/932870498729391337","932870498729391337","50967-60299","55805","178.86","90","346","50","13","Low","3","Individual","1.0","5","175","Entire rental unit","Yes","Midscale","20","4.8","90","No","No","No","Yes","No","Yes","No","Yes","71.0","0","524965380","Limited"
"27th Floor Condo Next To Eaton Centre W City Views","https://www.airbnb.com/rooms/1111742490174816010","1111742490174816010","48095-62787","56633","331.19","76","225","106","5","Moderate","1","Small","2.0","5","337","Entire condo","Yes","Upscale","141","4.62","21","No","No","No","Yes","No","No","No","Yes","92.0","0","561682643","Flexible"
"University Avenue: 2bed+2bath & Free Parking","https://www.airbnb.com/rooms/1269033294558453604","1269033294558453604","50155-63020","56673","192.77","82","357","45","20","Low","5","Individual","2.0","3","217","Entire rental unit","Yes","Midscale","9","5","26","No","No","No","Yes","No","No","No","Yes","71.0","1","657512663","Firm"
"Yonge Dundas Sq | Eaton Ctr |2 King Beds + Parking","https://www.airbnb.com/rooms/1445765966234578318","1445765966234578318","51657-62536","57305","345.21","91","183","37","4","High","1","Individual","2.0","6","345","Entire rental unit","Yes","Upscale","33","4.83","48","No","No","No","Yes","No","No","No","Yes","64.0","1","695565522","Firm"
"Skyline Views Downtown | CN Tower + Lakefront","https://www.airbnb.com/rooms/1432535702205252863","1432535702205252863","50620-62743","57404","459.23","67","186","8","5","High","1","Individual","2.0","8","366","Entire rental unit","Yes","Upscale","30","4.71","34","No","Yes","No","Yes","Yes","No","No","Yes","84.0","0","698297685","Firm"
