Listing Title,Airbnb URL,Listing ID,Estimated Rental Revenue (Range),Estimated Rental Revenue (Median),Estimated ADR,Estimated Adjusted Occupancy,Active days,Booking Window,Length of Stay,Dynamic Pricing,Min Stay,Professionally Managed,Bathrooms,Max Guests,Listed Price,Listing Type,Is Active,Economic Category,Blocked Days,Rating,Reviews,Beachfront,Hot Tub,EV Charger,Kitchen,Pool,Pets Allowed,Smoking Allowed,Air Conditioning,Cleaning Fee,Guest Favorite,Host ID,Cancellation Policy
"Stellar View 1BR Condo","https://www.airbnb.com/rooms/1579716676366139429","1579716676366139429","1570-2305","1956","78.23","32","77","2","28","Moderate","28","Moderate","1.0","2","93","Entire rental unit","Yes","Midscale","N/A","N/A","N/A","No","Yes","No","Yes","No","No","No","Yes","N/A","N/A","348430184","Firm"
"Elite 1BR Midtown Rental","https://www.airbnb.com/rooms/1544266602137648823","1544266602137648823","1706-2240","1975","131.64","13","112","N/A","15","High","30","Moderate","1.0","2","148","Entire rental unit","Yes","Midscale","9","N/A","N/A","No","No","No","Yes","Yes","No","No","Yes","N/A","N/A","5988339","Flexible"
"Comfortable Apartment In Quiet Neighbourhood","https://www.airbnb.com/rooms/48363176","48363176","1771-2535","2220","67.28","77","43","3","29","Low","28","Small","1.0","3","76","Entire rental unit","Yes","Midscale","323","4.81","16","No","No","No","Yes","No","No","No","Yes","101.0","N/A","262878999","Strict"
"Sophisticated 1BR Yorkville Suite","https://www.airbnb.com/rooms/1584899973111110712","1584899973111110712","1821-2674","2269","78.23","46","63","1","25","High","28","Moderate","1.0","2","93","Entire rental unit","Yes","Midscale","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","348430184","Firm"
"Yonge Midtown","https://www.airbnb.com/rooms/19734987","19734987","1920-2915","2514","49.3","94","54","70","51","Low","28","Individual","1.0","2","167","Entire condo","Yes","Economy","130","4.94","67","No","Yes","No","Yes","Yes","No","No","Yes","107.0","1","138365895","Strict"
"Beautiful Newly Renovated Bright 1-Bdrm Plus Apt","https://www.airbnb.com/rooms/13950414","13950414","2165-2865","2584","86.13","29","104","N/A","30","None","28","Small","1.0","2","119","Entire home","Yes","Midscale","262","4.88","8","No","No","No","Yes","No","No","No","No","29.0","N/A","83038230","Moderate"
"Cozy Studio Near Yonge Eglinton Subway Midtown","https://www.airbnb.com/rooms/1586509862681802503","1586509862681802503","2042-3058","2617","67.09","91","43","24","30","None","28","Moderate","1.0","1","82","Entire rental unit","Yes","Midscale","33","5","1","No","No","No","Yes","No","No","No","Yes","N/A","N/A","680986557","Moderate"
"The Perfect HOME (msg Host For Long Stay Discount)","https://www.airbnb.com/rooms/1597961895252685680","1597961895252685680","2129-3197","2702","51.95","85","61","N/A","28","None","28","Small","1.0","2","60","Entire rental unit","Yes","Economy","N/A","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","592714146","Flexible"
"Spacious One-bedroom St. Clair West Apartment","https://www.airbnb.com/rooms/1174710979012427712","1174710979012427712","2374-3118","2748","88.64","34","92","6","31","None","100","Individual","1.0","2","101","Entire rental unit","Yes","Midscale","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","704879","Flexible"
"Midtown 1BR - Yonge And Eglinton- 5 Mins To Subway","https://www.airbnb.com/rooms/32403284","32403284","2319-3290","2857","45.35","64","98","23","27","Moderate","30","Small","1.0","2","68","Entire guest suite","Yes","Economy","N/A","4.46","35","No","No","No","Yes","No","Yes","No","Yes","59","N/A","7863853","Flexible"
"Charming Home In Leaside-Toronto","https://www.airbnb.com/rooms/45649857","45649857","2413-3193","2880","96","56","54","10","30","None","28","Individual","1.0","3","153","Entire rental unit","Yes","Midscale","312","5","49","No","No","No","Yes","No","Yes","No","Yes","39.0","1","369811543","Firm"
"Entire Guest Suite- 1BD Basement","https://www.airbnb.com/rooms/21883799","21883799","2402-3438","3012","66.92","55","82","7","24","None","28","Individual","1.0","2","78","Entire home","Yes","Midscale","284","5","13","No","No","No","Yes","No","No","No","No","140.0","1","337379","Moderate"
"Yorkville 1 Bedroom Plus Home Office Suite","https://www.airbnb.com/rooms/667298075032400284","667298075032400284","2370-3696","3036","74.04","100","41","53","29","Moderate","31","Small","1.0","2","104","Entire condo","Yes","Midscale","325","5","2","No","No","No","Yes","No","No","No","Yes","143.0","N/A","742398","Firm"
"Luxury 29th Floor Suite In Yorkville/Stunning View","https://www.airbnb.com/rooms/1513847102794469526","1513847102794469526","2558-3755","3186","88.51","53","68","28","26","None","28","Small","1.0","3","104","Entire rental unit","Yes","Midscale","74","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","16645321","Firm"
"Private Room With Walkout Balcony","https://www.airbnb.com/rooms/20285107","20285107","2594-4020","3332","92.55","20","184","59","13","None","28","Individual","1.0","1","118","Entire home","Yes","Midscale","182","4.67","3","No","No","No","Yes","No","Yes","Yes","Yes","11.0","N/A","144210650","Firm"
"Toronto CityView Condo In Leaside-Vanderhoof Ave","https://www.airbnb.com/rooms/1604476811881919289","1604476811881919289","2794-3866","3357","145.98","79","29","17","3","Moderate","1","Individual","1.0","2","161","Entire condo","Yes","Upscale","19","4.86","7","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","9832902","Flexible"
